session,video_frame_index,radar_frame_num,radar_x,radar_y,radar_z,camera_x,camera_y,camera_z,radar_snr,gate_distance_m,tag_decision_margin
session_2026-08-27_20-18-44,34,25,0.0,7.29257,-0.10926,0.17925957182407753,-0.4753706630740337,7.525445875064429,33.822,0.5994185071627958,48.779266357421875
session_2026-08-27_20-18-44,37,26,0.0,7.29256,-0.10991,0.18016223204335352,-0.47499790526347013,7.535230185319527,33.846,0.6045305779876413,46.08393096923828
session_2026-08-27_20-18-44,40,27,0.0,7.29258,-0.1087,0.17897618452474137,-0.4778358975948763,7.523308754379759,33.823,0.5970734732279549,48.329681396484375
session_2026-08-27_20-18-44,43,28,0.0,7.29259,-0.10796,0.17910989118585086,-0.47634324122068344,7.528369624089555,33.878,0.6014721677120417,47.828338623046875
session_2026-08-27_20-18-44,47,29,0.0,7.29255,-0.11053,0.17838165469133288,-0.478304891333005,7.52606638218534,33.785,0.5973616934150466,48.54595947265625
session_2026-08-27_20-18-44,50,30,0.0,7.29258,-0.10862,0.1793905670762002,-0.47503898425184726,7.529601158365086,33.82,0.6024563100935846,49.191890716552734
session_2026-08-27_20-18-44,54,31,0.0,7.29259,-0.10767,0.1773361083817851,-0.47907082484235447,7.526760826834661,33.774,0.5997767409216509,47.613800048828125
session_2026-08-27_20-18-44,58,32,0.0,7.29254,-0.11147,0.17911001346215327,-0.4751401573296413,7.530199492531696,33.788,0.6008581087934131,47.81060028076172
session_2026-08-27_20-18-44,61,33,0.0,7.29253,-0.11206,0.17845650642060762,-0.4744482106011802,7.528957194275848,33.836,0.600476759895171,47.82049560546875
session_2026-08-27_20-18-44,64,34,0.0,7.29256,-0.10994,0.1738807395563364,-0.48340993441147767,7.498471078202187,33.784,0.5808595936482575,49.286903381347656
session_2026-08-27_20-18-44,67,35,0.0,7.29261,-0.10674,0.17998248322643548,-0.4750259101124849,7.530997410714627,33.862,0.6043382384218302,47.88473892211914
session_2026-08-27_20-18-44,70,36,0.0,7.29256,-0.11012,0.17950627101847097,-0.4743777243727339,7.52836599754571,33.806,0.6010527924198644,47.59162139892578
session_2026-08-27_20-18-44,73,37,0.0,7.29257,-0.10915,0.17972287341769905,-0.4759097130278969,7.528800735036073,33.783,0.6008820522672864,47.526859283447266
session_2026-08-27_20-18-44,76,38,0.0,7.29257,-0.10918,0.18044365971515736,-0.4750337668360464,7.526059809713912,33.809,0.5994995347646993,48.18405532836914
session_2026-08-27_20-18-44,79,39,0.0,7.29257,-0.10942,0.18036840493805065,-0.474407281847409,7.531712424089791,33.807,0.6030890723401188,48.162017822265625
session_2026-08-27_20-18-44,82,40,0.0,7.29261,-0.10661,0.17907910009324052,-0.47265777169469075,7.523533254001804,33.83,0.602086426888458,48.09990310668945
session_2026-08-27_20-18-44,85,41,0.0,7.2926,-0.10722,0.17952445129005218,-0.4747134274355619,7.5218292864743415,33.786,0.5990862476595826,48.71279525756836
session_2026-08-27_20-18-44,88,42,0.0,7.29259,-0.10763,0.17944754880188715,-0.4741930247355071,7.521750207391736,33.768,0.5991335944709306,49.564964294433594
session_2026-08-27_20-18-44,91,43,0.0,7.29255,-0.11042,0.17892799429431408,-0.47487061446281104,7.518024399477452,33.814,0.5947964114928358,48.53969192504883
session_2026-08-27_20-18-44,94,44,0.0,7.29258,-0.10875,0.17977388104806147,-0.47418868114689083,7.527831714389152,33.859,0.6017112657570952,49.44053268432617
session_2026-08-27_20-18-44,97,45,0.0,7.29255,-0.11031,0.17709030444726004,-0.4727659922554814,7.521311015543329,33.819,0.599039572210205,49.3539924621582
session_2026-08-27_20-18-44,100,46,0.0,7.2926,-0.10717,0.17175144670791065,-0.4687551339658964,7.51408528647017,33.852,0.6024168316366295,49.92443084716797
session_2026-08-27_20-18-44,103,47,0.0,7.29259,-0.10807,0.18223931338646945,-0.4680419283143213,7.521634357915543,33.813,0.6015688211656393,48.53835678100586
session_2026-08-27_20-18-44,106,48,0.0,7.2926,-0.10757,0.17959913178943926,-0.4744964012921929,7.521311166283168,33.8,0.5986452728359224,49.407859802246094
session_2026-08-27_20-18-44,110,49,0.0,7.29255,-0.11028,0.1796567297423286,-0.474690422101891,7.524698788799126,33.909,0.5985263248371689,49.952056884765625
