session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-07-13_17-02-51,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-02-51/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-12-24,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-12-24/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-12-40,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-12-40/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-12-56,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-12-56/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-13-11,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-13-11/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-13-27,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-13-27/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-13-42,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-13-42/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-13-58,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-13-58/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_17-14-14,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_17-14-14/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_18-03-20,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_18-03-20/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_18-03-35,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_18-03-35/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
session_2026-07-13_18-03-51,ds_mcvey_2026-06-14,McVey,McVey,2026-07-13,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_mcvey_2026-06-14/session_2026-07-13_18-03-51/,,,silver,raw,none,,,"Uploaded from external drive D:\Data\McVey on 2026-08-26. New capture, distinct from legacy dataset1-4."
