session_id,dataset_id,legacy_dataset_name,building,capture_date,raw_path,processed_path,oneformer_batch_id,quality_tier,label_status,split,published_dataset_version,checkpoint_usage,notes
session_2026-04-28_22-37-54,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-37-54/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-41-16,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-41-16/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-43-29,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-43-29/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-44-17,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-44-17/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-46-29,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-46-29/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-48-17,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-48-17/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-50-00,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-50-00/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-51-46,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-51-46/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-53-56,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-53-56/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
session_2026-04-28_22-55-49,ds_datanoah_2026-04-28,dataNoah,unknown,2026-04-28,gs://miamioh-resa-data/CapstoneData/raw/sessions/ds_datanoah_2026-04-28/session_2026-04-28_22-55-49/,,,silver,raw,none,,,Uploaded from external drive D:\3branch\dataNoah\Processing on 2026-08-29.
